ID,Name,Sheltered,Ramps,Electric,Directional
V0007,VERDUN ROAD OFF STREET,0,0,0,0
W0029,WEST COAST PARK 1 OFF STREET,0,0,0,0
W0055,WARNA ROAD OFF STREET,0,0,0,0
Y0019,YAN KIT ROAD - CANTONMENT ROAD OFF ST,0,0,0,0
Y0019,YAN KIT ROAD - CANTONMENT ROAD OFF ST,0,0,0,0
A2,BLK 206/207 ANG MO KIO STREET 22,0,0,0,1
A4,BLK 217/220 ANG MO KIO AVENUE 1,0,0,0,1
A7,BLK 212/213 ANG MO KIO STREET 23,0,0,0,1
A8,BLK 209/210 ANG MO KIO STREET 22,0,0,0,1
A9,BLK 202/203 ANG MO KIO STREET 22,0,0,0,1
B6,BLK 204/209 NEW UPPER CHANGI ROAD,0,0,0,1
B7,BLK 211/218 BEDOK NORTH STREET 1,0,0,0,1
B8,BLK 201/203 BEDOK NORTH STREET 1,0,0,0,1
B9,BLK 402/403 BEDOK NORTH AVENUE 3,0,0,0,1
C5,"BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2",0,0,0,1
C5,"BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2",0,0,0,1
C5,"BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2",0,0,0,1
C6,BLK 328-334 CLEMENTI AVENUE 2,0,0,0,1
C7,BLK 349-355 CLEMENTI AVENUE 2,0,0,0,1
C8,BLK 335/338 CLEMENTI AVENUE 2,0,0,0,1
C9,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,0,0,0,1
C9,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,0,0,0,1
C9,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,0,0,0,1
CY,BLK 269/269A/269B CHENG YAN COURT CAR PARK,0,0,0,1
H3,BLK 87 ZION ROAD,0,0,0,1
H3,BLK 87 ZION ROAD,0,0,0,1
H3,BLK 87 ZION ROAD,0,0,0,1
H4,BLK 22 HAVELOCK ROAD,0,0,0,1
H6,BLK 77/79 GANGES AVENUE,0,0,0,1
H8,BLKS 4-8 TAMAN HO SWEE,0,0,0,1
H8,BLKS 4-8 TAMAN HO SWEE,0,0,0,1
